#Code,Source,OriginalCode,Abbr_or_Group,Name,LAI_Use_LAI_QC,NDVI_Use_LAI_QC,LAI_Use_LAI_NDVI_rel,Comment,
11,NLCD,11,n/a,Open Water,1,1,0,,
12,NLCD,12,n/a,Perennial Ice/Snow,1,1,0,,
21,NLCD,21,n/a,Developed/Open Space,1,0,1,,
22,NLCD,22,n/a,Developed/Low Intensity,1,0,1,,
23,NLCD,23,n/a,Developed/Medium Intensity,1,0,1,,
24,NLCD,24,n/a,Developed/High Intensity,1,0,1,,
31,NLCD,31,n/a,Barren Land,1,1,0,,
41,NLCD,41,n/a,Deciduous Forest,1,1,0,,
42,NLCD,42,n/a,Evergreen Forest,1,1,0,,
43,NLCD,43,n/a,Mixed Forest,1,1,0,,
52,NLCD,52,n/a,Shrub/Scrub,1,1,0,,
71,NLCD,71,n/a,Grassland/Herbaceous,1,1,0,,
81,NLCD,81,n/a,Pasture/Hay,1,1,0,,
82,NLCD,82,n/a,Cultivated Crops,1,1,0,,
90,NLCD,90,n/a,Woody Wetlands,1,1,0,,
95,NLCD,95,n/a,Emergent Herbaceous Wetlands,1,1,0,,
