#Class depth1 frac1 depth2 frac2 depth3 frac3
11 0.10 0.25 0.25 0.70 0.05 0.05
12 0.10 0.25 0.25 0.70 0.05 0.05
21 0.10 0.25 0.25 0.70 0.05 0.05
22 0.10 0.25 0.25 0.70 0.05 0.05
23 0.10 0.25 0.25 0.70 0.05 0.05
24 0.10 0.25 0.25 0.70 0.05 0.05
31 0.10 0.25 0.25 0.70 0.05 0.05
41 0.10 0.05 1.00 0.45 5.00 0.50
42 0.10 0.05 1.00 0.45 5.00 0.50
43 0.10 0.05 1.00 0.70 0.50 0.25
52 0.10 0.05 1.00 0.70 0.50 0.25
71 0.10 0.05 1.00 0.70 0.50 0.25
81 0.10 0.05 1.00 0.70 0.50 0.25
82 0.10 0.25 0.25 0.70 0.05 0.05
91 0.10 0.05 1.00 0.70 0.50 0.25
95 0.10 0.05 1.00 0.75 0.50 0.20
